service_type,is_mix_service,online_time,1_total_fee,2_total_fee,3_total_fee,4_total_fee,month_traffic,many_over_bill,contract_type,contract_time,is_promise_low_consume,net_service,pay_times,pay_num,last_month_traffic,local_trafffic_month,local_caller_time,service1_caller_time,service2_caller_time,gender,age,complaint_level,former_complaint_num,former_complaint_fee,current_service,user_id,label,have_0_1_total_fee,have_0_2_total_fee,have_0_3_total_fee,have_0_4_total_fee,have_0_month_traffic,have_0_last_month_traffic,have_0_local_trafffic_month,have_0_local_caller_time,have_0_service1_caller_time,have_0_service2_caller_time,have_0_pay_num
4,0,85,295.96,296.2,296.0,296.8,3813.6147,0,1,36,0,4,2,300.04,4096.0,1392.0385,108.1,0.0,564.3667,1,31.0,0,0,0.0,99999825,Gx4sJzcQog01UhZL,10,1,1,0,1,1,0,1,1,0,1,1
1,0,10,265.2,261.2,208.5,174.5,0.0,1,0,0,0,4,3,300.0,0.0,62852.5097,240.1,355.1667,0.0,1,30.0,0,0,0.0,90063345,kEXrhTiug93DIcLG,0,1,1,1,1,0,0,1,1,1,0,0
1,0,12,44.5,70.2,69.0,61.4,2598.3974,0,0,0,0,4,4,50.0,0.0,1935.2421,27.6667,0.0,98.4167,2,25.0,0,0,0.0,90109916,AouXr0EOUtSRdiYK,4,1,1,0,1,1,0,1,1,0,1,0
4,0,134,87.95,81.4,76.0,88.3,988.4406,0,0,0,0,4,1,100.0,37.3364,988.5611,89.9,74.4833,121.8333,1,44.0,0,0,0.0,89950166,Yds7U30hnRZDiLtb,1,1,1,0,1,1,1,1,1,1,1,0
4,0,84,317.04,314.08,435.51,413.05,5885.8006,0,1,24,0,4,12,1000.03,3305.7411,0.0,0.0,35.1,496.7333,1,31.0,2,1,0.0,99999825,OFDTSXrhN9Q2mbVw,10,1,1,1,1,1,1,0,0,1,1,1
4,0,46,36.0,36.0,36.0,37.2,218.0035,0,3,12,0,4,1,30.0,459.294,218.0035,14.6333,0.0,14.6333,1,42.0,0,0,0.0,89950168,4qHSn3dkPzJTAjoG,5,0,0,0,1,1,1,1,1,0,1,0
1,0,12,33.6,32.7,38.7,45.7,0.0,0,0,0,0,4,1,50.0,0.0,0.0,6.1167,136.0333,0.0,1,27.0,0,0,0.0,90063345,tXkjbzpTsZcxYPKG,0,1,1,1,1,0,0,0,1,1,0,0
4,0,109,116.0,116.0,116.0,116.0,635.9463,0,9,12,0,4,2,200.0,1024.0,635.9784,250.8833,0.0,310.7333,1,40.0,0,0,0.0,89950167,ro43b68MustgPyOR,2,0,0,0,0,1,0,1,1,0,1,0
4,0,30,73.95,91.42,66.0,65.95,230.273,0,0,0,0,4,2,200.0,500.0,22.655,15.2833,41.9,82.9167,1,43.0,1,2,0.0,89950168,18e2VC0IJ7SkcKzF,5,1,1,0,1,1,0,1,1,1,1,0
1,0,7,89.0,91.0,90.6,126.1,0.0,1,0,0,0,4,2,120.0,0.0,7830.5055,33.7333,0.0,101.8333,1,22.0,0,0,0.0,90155946,YCEo95zSZ08IJ3PW,8,0,0,1,1,0,0,1,1,0,1,0
4,0,47,42.0,42.0,42.0,42.0,0.0,0,2,12,0,2,1,42.0,800.0,0.0,1.9167,0.0,9.2,0,,0,0,0.0,89950166,M9aTwUjbqQSYK8hN,1,0,0,0,0,0,0,0,1,0,1,0
4,0,51,76.1,156.0,116.0,107.3,3048.0472,0,9,12,0,4,2,101.0,0.0,2877.65,128.8,0.0,144.8167,1,43.0,0,0,0.0,89950166,cfGAgMWTJLt09VDs,1,1,0,0,1,1,0,1,1,0,1,0
4,0,59,123.3,175.2,110.95,178.0,683.8886,0,3,12,0,4,3,200.0,0.0,699.4843,169.3167,162.9167,465.6833,2,29.0,0,0,0.0,99999828,km0xTQGpIYZuXWyL,3,1,1,1,0,1,0,1,1,1,1,0
1,0,7,60.3,145.3,78.2,94.7,0.0,1,0,0,0,4,1,50.0,0.0,46671.924,0.0,1.9167,0.0,1,27.0,0,0,0.0,90063345,d9L37fAwopQkWPYh,0,1,1,1,1,0,0,1,0,1,0,0
4,0,122,208.9,225.7,157.0,241.65,1490.7403,0,9,12,0,4,1,100.0,865.3767,892.2984,461.5667,281.75,724.9,1,56.0,0,0,0.0,99999828,UXewZPdJbBiycY8Q,3,1,1,0,1,1,1,1,1,1,1,0
4,0,43,256.0,327.7,316.5,256.1,3882.6504,1,0,0,0,4,10,1477.6,0.0,3337.9178,70.9833,0.0,98.6167,2,27.0,2,1,6000.0,99999828,Z5igARInaGBkjYdm,3,0,1,1,1,1,0,1,1,0,1,1
1,0,5,7.91,13.7,11.05,15.1,0.0,1,0,0,0,2,1,50.0,0.0,0.0,0.0,0.0,0.0,1,44.0,0,0,0.0,90063345,gH7nkfV2a0cKPQT6,0,1,1,1,1,0,0,0,0,0,0,0
1,0,4,19.6,21.4,12.42,0.0,0.0,0,0,0,0,2,1,30.0,0.0,3.8424,0.9,0.9,0.0,1,17.0,0,0,0.0,90063345,wnYh1QfSNBcGMTJ5,0,1,1,1,0,0,0,1,1,1,0,0
4,1,65,84.35,98.05,76.0,76.0,1824.9252,0,9,12,0,4,1,100.0,800.0,1545.383,58.6,47.1167,171.7167,2,30.0,0,0,0.0,89950166,zPhEjLIWi3dKV6GU,1,1,1,0,0,1,0,1,1,1,1,0
1,0,18,48.9,54.5,51.9,66.1,0.0,1,0,0,0,4,2,40.0,0.0,0.0,0.0,3.3333,1.5667,1,24.0,0,0,0.0,90063345,JzrYtgsjF45bBun1,0,1,1,1,1,0,0,0,0,1,1,0
4,0,60,225.95,339.25,296.45,354.35,500.0,0,1,24,0,4,4,300.05,0.0,1430.7102,86.8,0.0,201.6167,1,36.0,0,0,0.0,99999826,rL402wVDpGPBfC8q,7,1,1,1,1,0,0,1,1,0,1,1
1,0,12,107.74,128.96,165.66,360.68,0.0,1,0,0,0,4,1,100.0,0.0,8121.1084,4.7833,21.2667,0.0,1,27.0,0,0,0.0,90063345,CognwxZ2aJfv03c4,0,1,1,1,1,0,0,1,1,1,0,0
1,0,18,89.7,96.4,78.8,69.7,0.0,1,0,0,0,4,1,100.0,0.0,17173.2125,48.0833,388.5333,18.5333,1,26.0,0,0,0.0,90063345,QnU8PiaY63eAVlDr,0,1,1,1,1,0,0,1,1,1,1,0
4,0,72,126.1,126.5,126.5,126.85,2785.3417,0,3,12,0,4,2,80.5,1975.834,0.0,0.0,0.0,255.5333,1,49.0,0,0,0.0,99999827,xPRY6725k90KdyjW,6,1,1,1,1,1,1,0,0,0,1,1
4,0,30,71.0,71.0,79.64,95.86,14946.7282,0,9,12,0,4,1,50.0,400.0599,14946.7349,7.8667,0.0,11.1,1,30.0,0,0,0.0,89950168,qLyPkjf86sZdEtNg,5,0,0,1,1,1,1,1,1,0,1,0
4,0,74,139.93,163.48,154.8,177.61,5078.919,0,9,12,1,4,1,0.07,1024.0,4511.7375,337.85,0.0,398.2333,1,31.0,0,0,0.0,99999828,IViSctryC8lTBvDj,3,1,1,1,1,1,0,1,1,0,1,1
4,1,51,75.95,79.55,96.03,76.0,591.0619,0,9,12,0,4,3,100.05,800.0,479.6714,140.5167,0.0,165.1,2,35.0,0,0,0.0,89950166,NAQc9BvmlKFjTgoC,1,1,1,1,0,1,0,1,1,0,1,1
4,0,18,146.0,146.1,146.2,146.0,6.2338,0,0,0,0,4,1,146.1,3072.0,0.0,0.0,0.0,39.9667,0,,0,0,0.0,99999826,0QR3gvwTmBnHhlVZ,7,0,1,1,0,1,0,0,0,0,1,1
1,0,13,34.3,30.2,33.3,45.3,0.0,1,0,0,0,4,1,50.0,0.0,0.0,0.0,0.0,0.0,1,26.0,0,0,0.0,90063345,D8Y21qN945kBieLd,0,1,1,1,1,0,0,0,0,0,0,0
